wl_nm,r,g,b
360,0.0000012,0.0000000,0.0000057
361,0.0000014,0.0000000,0.0000064
362,0.0000015,0.0000000,0.0000072
363,0.0000017,0.0000000,0.0000080
364,0.0000019,0.0000000,0.0000090
365,0.0000022,0.0000000,0.0000102
366,0.0000024,0.0000000,0.0000114
367,0.0000027,0.0000000,0.0000128
368,0.0000031,0.0000000,0.0000144
369,0.0000035,0.0000000,0.0000162
370,0.0000039,0.0000000,0.0000182
371,0.0000043,0.0000000,0.0000204
372,0.0000049,0.0000000,0.0000228
373,0.0000054,0.0000000,0.0000256
374,0.0000061,0.0000000,0.0000288
375,0.0000069,0.0000000,0.0000326
376,0.0000079,0.0000001,0.0000372
377,0.0000090,0.0000001,0.0000425
378,0.0000102,0.0000001,0.0000483
379,0.0000115,0.0000001,0.0000543
380,0.0000128,0.0000001,0.0000603
381,0.0000141,0.0000001,0.0000663
382,0.0000154,0.0000001,0.0000725
383,0.0000169,0.0000001,0.0000795
384,0.0000187,0.0000001,0.0000881
385,0.0000209,0.0000001,0.0000987
386,0.0000237,0.0000002,0.0001119
387,0.0000271,0.0000002,0.0001278
388,0.0000309,0.0000002,0.0001458
389,0.0000351,0.0000003,0.0001659
390,0.0000397,0.0000003,0.0001876
391,0.0000445,0.0000003,0.0002106
392,0.0000499,0.0000004,0.0002358
393,0.0000559,0.0000005,0.0002646
394,0.0000631,0.0000005,0.0002984
395,0.0000716,0.0000006,0.0003388
396,0.0000819,0.0000007,0.0003877
397,0.0000938,0.0000008,0.0004444
398,0.0001068,0.0000009,0.0005063
399,0.0001204,0.0000010,0.0005706
400,0.0001339,0.0000011,0.0006348
401,0.0001469,0.0000012,0.0006968
402,0.0001604,0.0000013,0.0007612
403,0.0001757,0.0000015,0.0008341
404,0.0001941,0.0000017,0.0009219
405,0.0002169,0.0000020,0.0010309
406,0.0002452,0.0000023,0.0011658
407,0.0002786,0.0000027,0.0013256
408,0.0003169,0.0000032,0.0015090
409,0.0003598,0.0000038,0.0017144
410,0.0004070,0.0000044,0.0019403
411,0.0004583,0.0000051,0.0021862
412,0.0005147,0.0000059,0.0024568
413,0.0005773,0.0000069,0.0027577
414,0.0006474,0.0000080,0.0030947
415,0.0007262,0.0000093,0.0034736
416,0.0008134,0.0000109,0.0038937
417,0.0009090,0.0000128,0.0043545
418,0.0010141,0.0000151,0.0048619
419,0.0011297,0.0000181,0.0054216
420,0.0012570,0.0000218,0.0060397
421,0.0013971,0.0000265,0.0067216
422,0.0015472,0.0000320,0.0074534
423,0.0017023,0.0000384,0.0082124
424,0.0018579,0.0000456,0.0089758
425,0.0020090,0.0000537,0.0097205
426,0.0021532,0.0000626,0.0104345
427,0.0022907,0.0000725,0.0111186
428,0.0024207,0.0000833,0.0117700
429,0.0025425,0.0000951,0.0123856
430,0.0026557,0.0001081,0.0129626
431,0.0027590,0.0001221,0.0134962
432,0.0028521,0.0001372,0.0139842
433,0.0029352,0.0001534,0.0144275
434,0.0030087,0.0001705,0.0148269
435,0.0030728,0.0001886,0.0151831
436,0.0031276,0.0002077,0.0154960
437,0.0031730,0.0002277,0.0157663
438,0.0032096,0.0002486,0.0159962
439,0.0032377,0.0002702,0.0161881
440,0.0032578,0.0002926,0.0163441
441,0.0032702,0.0003156,0.0164656
442,0.0032753,0.0003394,0.0165552
443,0.0032740,0.0003640,0.0166173
444,0.0032672,0.0003897,0.0166563
445,0.0032557,0.0004167,0.0166766
446,0.0032400,0.0004450,0.0166801
447,0.0032202,0.0004745,0.0166682
448,0.0031972,0.0005054,0.0166448
449,0.0031718,0.0005377,0.0166136
450,0.0031448,0.0005713,0.0165785
451,0.0031167,0.0006062,0.0165424
452,0.0030871,0.0006426,0.0165030
453,0.0030553,0.0006803,0.0164553
454,0.0030202,0.0007194,0.0163947
455,0.0029810,0.0007598,0.0163164
456,0.0029373,0.0008017,0.0162178
457,0.0028892,0.0008449,0.0160990
458,0.0028368,0.0008891,0.0159594
459,0.0027804,0.0009342,0.0157985
460,0.0027200,0.0009800,0.0156157
461,0.0026561,0.0010264,0.0154130
462,0.0025883,0.0010734,0.0151874
463,0.0025153,0.0011211,0.0149311
464,0.0024358,0.0011696,0.0146365
465,0.0023486,0.0012190,0.0142957
466,0.0022527,0.0012693,0.0139029
467,0.0021498,0.0013205,0.0134670
468,0.0020427,0.0013729,0.0130026
469,0.0019343,0.0014269,0.0125242
470,0.0018271,0.0014826,0.0120461
471,0.0017229,0.0015401,0.0115764
472,0.0016210,0.0015995,0.0111124
473,0.0015215,0.0016608,0.0106534
474,0.0014242,0.0017240,0.0101986
475,0.0013289,0.0017891,0.0097472
476,0.0012361,0.0018563,0.0093009
477,0.0011462,0.0019256,0.0088626
478,0.0010593,0.0019967,0.0084333
479,0.0009753,0.0020690,0.0080139
480,0.0008943,0.0021424,0.0076053
481,0.0008163,0.0022166,0.0072084
482,0.0007416,0.0022922,0.0068241
483,0.0006706,0.0023700,0.0064543
484,0.0006038,0.0024507,0.0061006
485,0.0005418,0.0025351,0.0057647
486,0.0004848,0.0026236,0.0054478
487,0.0004326,0.0027165,0.0051493
488,0.0003847,0.0028142,0.0048679
489,0.0003403,0.0029173,0.0046025
490,0.0002992,0.0030263,0.0043519
491,0.0002609,0.0031418,0.0041156
492,0.0002256,0.0032640,0.0038935
493,0.0001933,0.0033928,0.0036849
494,0.0001638,0.0035280,0.0034890
495,0.0001373,0.0036695,0.0033052
496,0.0001135,0.0038168,0.0031327
497,0.0000926,0.0039706,0.0029708
498,0.0000743,0.0041327,0.0028191
499,0.0000587,0.0043045,0.0026772
500,0.0000456,0.0044878,0.0025446
501,0.0000351,0.0046836,0.0024213
502,0.0000273,0.0048904,0.0023059
503,0.0000225,0.0051060,0.0021963
504,0.0000207,0.0053279,0.0020905
505,0.0000223,0.0055539,0.0019861
506,0.0000272,0.0057824,0.0018820
507,0.0000357,0.0060137,0.0017786
508,0.0000483,0.0062484,0.0016767
509,0.0000652,0.0064873,0.0015769
510,0.0000869,0.0067307,0.0014800
511,0.0001136,0.0069786,0.0013859
512,0.0001453,0.0072292,0.0012945
513,0.0001822,0.0074806,0.0012068
514,0.0002244,0.0077310,0.0011233
515,0.0002722,0.0079785,0.0010450
516,0.0003257,0.0082225,0.0009721
517,0.0003847,0.0084618,0.0009043
518,0.0004490,0.0086938,0.0008418
519,0.0005182,0.0089159,0.0007844
520,0.0005920,0.0091254,0.0007320
521,0.0006703,0.0093204,0.0006849
522,0.0007529,0.0095018,0.0006425
523,0.0008398,0.0096712,0.0006040
524,0.0009307,0.0098304,0.0005687
525,0.0010256,0.0099812,0.0005356
526,0.0011245,0.0101242,0.0005043
527,0.0012270,0.0102587,0.0004747
528,0.0013323,0.0103843,0.0004467
529,0.0014398,0.0105006,0.0004200
530,0.0015488,0.0106074,0.0003944
531,0.0016588,0.0107046,0.0003696
532,0.0017700,0.0107925,0.0003455
533,0.0018826,0.0108717,0.0003224
534,0.0019967,0.0109425,0.0003002
535,0.0021126,0.0110054,0.0002792
536,0.0022303,0.0110606,0.0002592
537,0.0023496,0.0111082,0.0002404
538,0.0024705,0.0111480,0.0002225
539,0.0025932,0.0111802,0.0002057
540,0.0027177,0.0112046,0.0001899
541,0.0028439,0.0112213,0.0001751
542,0.0029720,0.0112306,0.0001613
543,0.0031017,0.0112326,0.0001484
544,0.0032332,0.0112273,0.0001364
545,0.0033662,0.0112149,0.0001254
546,0.0035008,0.0111954,0.0001151
547,0.0036370,0.0111690,0.0001057
548,0.0037750,0.0111362,0.0000971
549,0.0039147,0.0110973,0.0000891
550,0.0040564,0.0110527,0.0000819
551,0.0042000,0.0110022,0.0000752
552,0.0043454,0.0109459,0.0000691
553,0.0044926,0.0108839,0.0000635
554,0.0046415,0.0108161,0.0000584
555,0.0047920,0.0107425,0.0000538
556,0.0049440,0.0106629,0.0000496
557,0.0050975,0.0105773,0.0000458
558,0.0052520,0.0104855,0.0000424
559,0.0054075,0.0103873,0.0000393
560,0.0055636,0.0102827,0.0000365
561,0.0057201,0.0101713,0.0000339
562,0.0058769,0.0100537,0.0000315
563,0.0060339,0.0099302,0.0000294
564,0.0061913,0.0098011,0.0000275
565,0.0063488,0.0096665,0.0000257
566,0.0065063,0.0095268,0.0000242
567,0.0066637,0.0093819,0.0000228
568,0.0068207,0.0092320,0.0000216
569,0.0069769,0.0090771,0.0000206
570,0.0071321,0.0089174,0.0000196
571,0.0072859,0.0087528,0.0000189
572,0.0074383,0.0085837,0.0000182
573,0.0075890,0.0084104,0.0000177
574,0.0077378,0.0082333,0.0000172
575,0.0078845,0.0080525,0.0000168
576,0.0080289,0.0078685,0.0000165
577,0.0081707,0.0076814,0.0000163
578,0.0083093,0.0074915,0.0000160
579,0.0084443,0.0072987,0.0000157
580,0.0085751,0.0071033,0.0000154
581,0.0087015,0.0069055,0.0000151
582,0.0088231,0.0067057,0.0000146
583,0.0089399,0.0065044,0.0000142
584,0.0090516,0.0063021,0.0000136
585,0.0091582,0.0060993,0.0000131
586,0.0092591,0.0058964,0.0000125
587,0.0093542,0.0056937,0.0000119
588,0.0094435,0.0054917,0.0000113
589,0.0095269,0.0052906,0.0000107
590,0.0096046,0.0050910,0.0000103
591,0.0096765,0.0048931,0.0000100
592,0.0097420,0.0046974,0.0000098
593,0.0098000,0.0045043,0.0000097
594,0.0098494,0.0043144,0.0000096
595,0.0098891,0.0041283,0.0000094
596,0.0099180,0.0039465,0.0000091
597,0.0099368,0.0037690,0.0000087
598,0.0099462,0.0035956,0.0000083
599,0.0099472,0.0034261,0.0000079
600,0.0099405,0.0032602,0.0000075
601,0.0099268,0.0030979,0.0000071
602,0.0099054,0.0029397,0.0000068
603,0.0098752,0.0027858,0.0000064
604,0.0098355,0.0026369,0.0000060
605,0.0097852,0.0024933,0.0000056
606,0.0097238,0.0023553,0.0000051
607,0.0096519,0.0022229,0.0000046
608,0.0095705,0.0020958,0.0000041
609,0.0094805,0.0019739,0.0000036
610,0.0093828,0.0018572,0.0000032
611,0.0092776,0.0017455,0.0000029
612,0.0091650,0.0016389,0.0000026
613,0.0090448,0.0015372,0.0000025
614,0.0089172,0.0014404,0.0000024
615,0.0087819,0.0013484,0.0000022
616,0.0086396,0.0012610,0.0000021
617,0.0084904,0.0011783,0.0000021
618,0.0083337,0.0010998,0.0000020
619,0.0081692,0.0010253,0.0000019
620,0.0079963,0.0009547,0.0000018
621,0.0078151,0.0008876,0.0000016
622,0.0076266,0.0008241,0.0000015
623,0.0074323,0.0007641,0.0000013
624,0.0072336,0.0007075,0.0000011
625,0.0070319,0.0006544,0.0000009
626,0.0068278,0.0006045,0.0000008
627,0.0066219,0.0005578,0.0000007
628,0.0064162,0.0005141,0.0000006
629,0.0062122,0.0004733,0.0000005
630,0.0060119,0.0004351,0.0000005
631,0.0058164,0.0003996,0.0000004
632,0.0056255,0.0003666,0.0000004
633,0.0054382,0.0003359,0.0000003
634,0.0052538,0.0003074,0.0000003
635,0.0050713,0.0002809,0.0000003
636,0.0048907,0.0002562,0.0000003
637,0.0047124,0.0002334,0.0000002
638,0.0045364,0.0002123,0.0000002
639,0.0043628,0.0001928,0.0000002
640,0.0041916,0.0001747,0.0000002
641,0.0040228,0.0001581,0.0000002
642,0.0038566,0.0001428,0.0000002
643,0.0036932,0.0001287,0.0000001
644,0.0035331,0.0001159,0.0000001
645,0.0033765,0.0001043,0.0000001
646,0.0032236,0.0000938,0.0000001
647,0.0030744,0.0000843,0.0000001
648,0.0029294,0.0000757,0.0000000
649,0.0027888,0.0000680,0.0000000
650,0.0026531,0.0000610,0.0000000
651,0.0025225,0.0000546,0.0000000
652,0.0023969,0.0000488,0.0000000
653,0.0022759,0.0000436,0.0000000
654,0.0021592,0.0000389,0.0000000
655,0.0020467,0.0000346,0.0000000
656,0.0019381,0.0000308,0.0000000
657,0.0018335,0.0000274,0.0000000
658,0.0017329,0.0000243,0.0000000
659,0.0016362,0.0000216,0.0000000
660,0.0015432,0.0000192,0.0000000
661,0.0014540,0.0000170,0.0000000
662,0.0013685,0.0000152,0.0000000
663,0.0012867,0.0000135,0.0000000
664,0.0012086,0.0000121,0.0000000
665,0.0011342,0.0000107,0.0000000
666,0.0010635,0.0000095,0.0000000
667,0.0009963,0.0000084,0.0000000
668,0.0009329,0.0000075,0.0000000
669,0.0008734,0.0000066,0.0000000
670,0.0008179,0.0000058,0.0000000
671,0.0007665,0.0000051,0.0000000
672,0.0007188,0.0000045,0.0000000
673,0.0006745,0.0000040,0.0000000
674,0.0006334,0.0000035,0.0000000
675,0.0005952,0.0000031,0.0000000
676,0.0005597,0.0000027,0.0000000
677,0.0005267,0.0000023,0.0000000
678,0.0004957,0.0000020,0.0000000
679,0.0004662,0.0000017,0.0000000
680,0.0004377,0.0000015,0.0000000
681,0.0004097,0.0000012,0.0000000
682,0.0003825,0.0000010,0.0000000
683,0.0003563,0.0000008,0.0000000
684,0.0003313,0.0000007,0.0000000
685,0.0003079,0.0000005,0.0000000
686,0.0002860,0.0000004,0.0000000
687,0.0002656,0.0000003,0.0000000
688,0.0002465,0.0000003,0.0000000
689,0.0002288,0.0000002,0.0000000
690,0.0002124,0.0000002,0.0000000
691,0.0001973,0.0000001,0.0000000
692,0.0001834,0.0000001,0.0000000
693,0.0001707,0.0000001,0.0000000
694,0.0001590,0.0000001,0.0000000
695,0.0001482,0.0000000,0.0000000
696,0.0001384,0.0000000,0.0000000
697,0.0001294,0.0000000,0.0000000
698,0.0001212,0.0000000,0.0000000
699,0.0001135,0.0000000,0.0000000
700,0.0001063,0.0000000,0.0000000
701,0.0000995,0.0000000,0.0000000
702,0.0000930,0.0000000,0.0000000
703,0.0000869,0.0000000,0.0000000
704,0.0000812,0.0000000,0.0000000
705,0.0000759,0.0000000,0.0000000
706,0.0000710,0.0000000,0.0000000
707,0.0000663,0.0000000,0.0000000
708,0.0000620,0.0000000,0.0000000
709,0.0000580,0.0000000,0.0000000
710,0.0000542,0.0000000,0.0000000
711,0.0000506,0.0000000,0.0000000
712,0.0000473,0.0000000,0.0000000
713,0.0000441,0.0000000,0.0000000
714,0.0000412,0.0000000,0.0000000
715,0.0000385,0.0000000,0.0000000
716,0.0000359,0.0000000,0.0000000
717,0.0000335,0.0000000,0.0000000
718,0.0000312,0.0000000,0.0000000
719,0.0000291,0.0000000,0.0000000
720,0.0000271,0.0000000,0.0000000
721,0.0000253,0.0000000,0.0000000
722,0.0000236,0.0000000,0.0000000
723,0.0000220,0.0000000,0.0000000
724,0.0000206,0.0000000,0.0000000
725,0.0000192,0.0000000,0.0000000
726,0.0000179,0.0000000,0.0000000
727,0.0000167,0.0000000,0.0000000
728,0.0000155,0.0000000,0.0000000
729,0.0000145,0.0000000,0.0000000
730,0.0000135,0.0000000,0.0000000
731,0.0000125,0.0000000,0.0000000
732,0.0000117,0.0000000,0.0000000
733,0.0000108,0.0000000,0.0000000
734,0.0000101,0.0000000,0.0000000
735,0.0000094,0.0000000,0.0000000
736,0.0000087,0.0000000,0.0000000
737,0.0000081,0.0000000,0.0000000
738,0.0000075,0.0000000,0.0000000
739,0.0000070,0.0000000,0.0000000
740,0.0000065,0.0000000,0.0000000
741,0.0000060,0.0000000,0.0000000
742,0.0000056,0.0000000,0.0000000
743,0.0000052,0.0000000,0.0000000
744,0.0000048,0.0000000,0.0000000
745,0.0000045,0.0000000,0.0000000
746,0.0000041,0.0000000,0.0000000
747,0.0000039,0.0000000,0.0000000
748,0.0000036,0.0000000,0.0000000
749,0.0000033,0.0000000,0.0000000
750,0.0000031,0.0000000,0.0000000
751,0.0000029,0.0000000,0.0000000
752,0.0000027,0.0000000,0.0000000
753,0.0000025,0.0000000,0.0000000
754,0.0000024,0.0000000,0.0000000
755,0.0000022,0.0000000,0.0000000
756,0.0000021,0.0000000,0.0000000
757,0.0000019,0.0000000,0.0000000
758,0.0000018,0.0000000,0.0000000
759,0.0000017,0.0000000,0.0000000
760,0.0000016,0.0000000,0.0000000
761,0.0000015,0.0000000,0.0000000
762,0.0000014,0.0000000,0.0000000
763,0.0000013,0.0000000,0.0000000
764,0.0000012,0.0000000,0.0000000
765,0.0000011,0.0000000,0.0000000
766,0.0000010,0.0000000,0.0000000
767,0.0000010,0.0000000,0.0000000
768,0.0000009,0.0000000,0.0000000
769,0.0000008,0.0000000,0.0000000
770,0.0000008,0.0000000,0.0000000
771,0.0000007,0.0000000,0.0000000
772,0.0000007,0.0000000,0.0000000
773,0.0000006,0.0000000,0.0000000
774,0.0000006,0.0000000,0.0000000
775,0.0000005,0.0000000,0.0000000
776,0.0000005,0.0000000,0.0000000
777,0.0000005,0.0000000,0.0000000
778,0.0000004,0.0000000,0.0000000
779,0.0000004,0.0000000,0.0000000
780,0.0000004,0.0000000,0.0000000
781,0.0000004,0.0000000,0.0000000
782,0.0000003,0.0000000,0.0000000
783,0.0000003,0.0000000,0.0000000
784,0.0000003,0.0000000,0.0000000
785,0.0000003,0.0000000,0.0000000
786,0.0000003,0.0000000,0.0000000
787,0.0000002,0.0000000,0.0000000
788,0.0000002,0.0000000,0.0000000
789,0.0000002,0.0000000,0.0000000
790,0.0000002,0.0000000,0.0000000
791,0.0000002,0.0000000,0.0000000
792,0.0000002,0.0000000,0.0000000
793,0.0000002,0.0000000,0.0000000
794,0.0000001,0.0000000,0.0000000
795,0.0000001,0.0000000,0.0000000
796,0.0000001,0.0000000,0.0000000
797,0.0000001,0.0000000,0.0000000
798,0.0000001,0.0000000,0.0000000
799,0.0000001,0.0000000,0.0000000
800,0.0000001,0.0000000,0.0000000
801,0.0000001,0.0000000,0.0000000
802,0.0000001,0.0000000,0.0000000
803,0.0000001,0.0000000,0.0000000
804,0.0000001,0.0000000,0.0000000
805,0.0000001,0.0000000,0.0000000
806,0.0000001,0.0000000,0.0000000
807,0.0000001,0.0000000,0.0000000
808,0.0000001,0.0000000,0.0000000
809,0.0000001,0.0000000,0.0000000
810,0.0000000,0.0000000,0.0000000
811,0.0000000,0.0000000,0.0000000
812,0.0000000,0.0000000,0.0000000
813,0.0000000,0.0000000,0.0000000
814,0.0000000,0.0000000,0.0000000
815,0.0000000,0.0000000,0.0000000
816,0.0000000,0.0000000,0.0000000
817,0.0000000,0.0000000,0.0000000
818,0.0000000,0.0000000,0.0000000
819,0.0000000,0.0000000,0.0000000
820,0.0000000,0.0000000,0.0000000
821,0.0000000,0.0000000,0.0000000
822,0.0000000,0.0000000,0.0000000
823,0.0000000,0.0000000,0.0000000
824,0.0000000,0.0000000,0.0000000
825,0.0000000,0.0000000,0.0000000
826,0.0000000,0.0000000,0.0000000
827,0.0000000,0.0000000,0.0000000
828,0.0000000,0.0000000,0.0000000
829,0.0000000,0.0000000,0.0000000
830,0.0000000,0.0000000,0.0000000
